date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:41:04	25280/25280	---MC-	200	added ('OK')	text/html	date:Thu,%2028%20Nov%202019%2013:38:52%20GMT	http://www.guidetypo3.com/tutoriaux.html	C:/My%20Web%20Sites/TYPO3/www.guidetypo3.com/tutoriaux.html	(from )
14:41:05	1656/1656	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Nov%202019%2013:38:52%20GMT	http://www.guidetypo3.com/robots.txt		(from )
14:41:05	7735/7735	---M--	200	added ('OK')	text/css	date:Sun,%2006%20Mar%202011%2013:56:11%20GMT	http://www.guidetypo3.com/typo3temp/stylesheet_7365c95366.css	C:/My%20Web%20Sites/TYPO3/www.guidetypo3.com/typo3temp/stylesheet_7365c95366.css	(from http://www.guidetypo3.com/tutoriaux.html)
14:41:06	357/357	---M--	200	added ('OK')	application/javascript	date:Fri,%2004%20Mar%202011%2000:36:27%20GMT	http://www.guidetypo3.com/typo3temp/javascript_93077bb238.js	C:/My%20Web%20Sites/TYPO3/www.guidetypo3.com/typo3temp/javascript_93077bb238.js	(from http://www.guidetypo3.com/tutoriaux.html)
14:41:06	13467/13467	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Apr%202011%2007:40:09%20GMT	http://www.guidetypo3.com/fileadmin/templates/v1/css/style-v11.css	C:/My%20Web%20Sites/TYPO3/www.guidetypo3.com/fileadmin/templates/v1/css/style-v11.css	(from http://www.guidetypo3.com/tutoriaux.html)
14:41:07	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Thu,%2003%20Mar%202011%2022:34:18%20GMT	http://www.guidetypo3.com/fileadmin/templates/v1/images/favicon.ico	C:/My%20Web%20Sites/TYPO3/www.guidetypo3.com/fileadmin/templates/v1/images/favicon.ico	(from http://www.guidetypo3.com/tutoriaux.html)
14:41:08	1980/1980	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Mar%202011%2022:33:23%20GMT	http://www.guidetypo3.com/fileadmin/templates/flexibles_contents/dragtoshare/dragToShare-v1.css	C:/My%20Web%20Sites/TYPO3/www.guidetypo3.com/fileadmin/templates/flexibles_contents/dragtoshare/dragToShare-v1.css	(from http://www.guidetypo3.com/tutoriaux.html)
14:41:09	4025/4025	---M--	200	added ('OK')	application/javascript	date:Thu,%2003%20Mar%202011%2022:33:25%20GMT	http://www.guidetypo3.com/fileadmin/templates/flexibles_contents/dragtoshare/dragToShare14.js	C:/My%20Web%20Sites/TYPO3/www.guidetypo3.com/fileadmin/templates/flexibles_contents/dragtoshare/dragToShare14.js	(from http://www.guidetypo3.com/tutoriaux.html)
14:41:10	0/0	---M--	301	error ('TYPO3%20RealURL%20redirect%20M961')	text/html	date:Thu,%2028%20Nov%202019%2013:38:58%20GMT	http://www.guidetypo3.com/recherche/mots-cles/{term}	C:/My%20Web%20Sites/TYPO3/www.guidetypo3.com/recherche/mots-cles/{term}.a.delayed	(from http://www.guidetypo3.com/tutoriaux.html)
14:41:10	3781/3781	---M--	200	added ('OK')	application/javascript	date:Thu,%2003%20Mar%202011%2022:35:02%20GMT	http://www.guidetypo3.com/fileadmin/templates/v1/js/scrolltopcontrol.js	C:/My%20Web%20Sites/TYPO3/www.guidetypo3.com/fileadmin/templates/v1/js/scrolltopcontrol.js	(from http://www.guidetypo3.com/tutoriaux.html)
